ThreadCount,TimeTaken(ms),PrimeCount
1,1117,903698
2,604,903698
3,429,903698
4,340,903698
5,351,903698
6,387,903698
7,382,903698
8,401,903698
9,403,903698
10,395,903698
11,394,903698
12,396,903698
13,395,903698
14,397,903698
15,395,903698
16,403,903698
