ThreadCount,TimeTaken(ms),PrimeCount
1,1051,903698
2,647,903698
3,495,903698
4,364,903698
5,314,903698
6,293,903698
7,278,903698
8,266,903698
9,269,903698
10,259,903698
11,278,903698
12,259,903698
13,253,903698
14,264,903698
15,254,903698
16,247,903698
