ThreadCount,TimeTaken(ms),PrimeCount
1,1062,903698
2,646,903698
3,459,903698
4,357,903698
5,314,903698
6,298,903698
7,273,903698
8,256,903698
9,262,903698
10,249,903698
11,258,903698
12,255,903698
13,253,903698
14,270,903698
15,257,903698
16,238,903698
