ThreadCount,TimeTaken(ms),PrimeCount
1,1087,903698
2,621,903698
3,650,903698
4,762,903698
5,782,903698
6,762,903698
7,790,903698
8,772,903698
9,799,903698
10,757,903698
11,776,903698
12,786,903698
13,801,903698
14,817,903698
15,802,903698
16,793,903698
